date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,MA5,MA20
2025-01-02,2344,13306570,194378614,14.6,14.8,14.5,14.5,-0.3,5000,,
2025-01-03,2344,13874556,201668624,14.6,14.85,14.4,14.4,-0.1,4659,,
2025-01-06,2344,17197624,253656017,14.6,14.9,14.4,14.8,0.4,5772,,
2025-01-07,2344,29967650,450479884,15.1,15.55,14.65,14.65,-0.15,10204,,
2025-01-08,2344,13039614,189869846,14.75,14.75,14.45,14.5,-0.15,4556,14.569999999999999,
2025-01-09,2344,29387188,412904246,14.5,14.55,13.7,13.7,-0.8,10594,14.41,
2025-01-10,2344,19544519,271827134,13.8,14.15,13.75,13.8,0.1,6034,14.290000000000001,
2025-01-13,2344,26912495,359025618,13.65,13.7,13.2,13.35,-0.45,7696,14.0,
2025-01-14,2344,16707467,226280035,13.45,13.7,13.4,13.55,0.2,4271,13.780000000000001,
2025-01-15,2344,24724036,336469779,13.55,13.85,13.3,13.65,0.1,6986,13.61,
2025-01-16,2344,39053784,550486626,13.9,14.4,13.75,14.0,0.35,10227,13.669999999999998,
2025-01-17,2344,17721969,248268865,13.95,14.15,13.85,14.05,0.05,4358,13.719999999999999,
2025-01-20,2344,17943530,252739838,14.3,14.3,13.95,14.1,0.05,5274,13.87,
2025-01-21,2344,12979948,183811102,14.05,14.3,14.0,14.15,0.05,3784,13.99,
2025-01-22,2344,16678956,236789986,14.25,14.35,14.05,14.35,0.2,5274,14.129999999999999,
2025-02-03,2344,36910553,526010630,14.6,14.6,14.0,14.3,-0.05,9017,14.190000000000001,
2025-02-04,2344,21229080,299557475,14.3,14.4,13.9,14.05,-0.25,5577,14.190000000000001,
2025-02-05,2344,24652618,353366483,14.2,14.6,14.15,14.2,0.15,5719,14.209999999999999,
2025-02-06,2344,19749707,284290177,14.25,14.55,14.2,14.5,0.3,4631,14.280000000000001,
2025-02-07,2344,10070904,144550596,14.45,14.5,14.25,14.35,-0.15,3420,14.280000000000001,14.147499999999999
2025-02-10,2344,12608336,178642922,14.2,14.3,14.05,14.25,-0.1,3757,14.27,14.135
2025-02-11,2344,11378247,163465118,14.35,14.55,14.25,14.25,0.0,3188,14.309999999999999,14.127500000000001
2025-02-12,2344,18169797,264070227,14.3,14.7,14.25,14.55,0.3,5064,14.38,14.115
2025-02-13,2344,48179865,754278035,14.6,16.0,14.45,16.0,1.45,10958,14.680000000000001,14.1825
2025-02-14,2344,244449142,4062176246,16.5,17.5,15.55,17.15,1.15,60558,15.24,14.314999999999998
2025-02-17,2344,230697903,4136651890,17.15,18.7,16.85,18.55,1.4,62038,16.1,14.5575
2025-02-18,2344,236343661,4427143882,18.45,19.35,18.1,18.75,0.2,64996,17.0,14.804999999999998
2025-02-19,2344,248588557,4745693683,19.0,19.65,18.65,19.2,0.45,62030,17.93,15.0975
2025-02-20,2344,257895659,4761726671,19.2,19.25,17.7,18.95,-0.25,65870,18.52,15.367500000000001
2025-02-21,2344,198981888,3769367631,18.7,19.5,18.3,18.85,-0.1,46545,18.86,15.627500000000001
2025-02-24,2344,79710839,1490526748,18.65,18.95,18.4,18.85,0.0,21880,18.919999999999998,15.870000000000001
2025-02-25,2344,159098519,2999115337,18.3,19.5,18.05,19.1,0.25,41851,18.990000000000002,16.122500000000002
2025-02-26,2344,113971129,2161967795,18.9,19.65,18.55,18.6,-0.5,30430,18.869999999999997,16.3475
2025-02-27,2344,88172776,1654271047,18.7,19.05,18.45,18.7,0.1,20078,18.82,16.575
2025-03-03,2344,83024136,1543795433,18.4,18.95,18.15,18.7,0.0,19923,18.79,16.7925
2025-03-04,2344,65027097,1193382333,18.3,18.55,18.15,18.55,-0.15,16887,18.729999999999997,17.005
2025-03-05,2344,54459398,1022215321,18.5,19.1,18.35,18.8,0.25,15348,18.669999999999998,17.2425
2025-03-06,2344,49687269,919785810,18.9,18.95,18.15,18.15,-0.65,16253,18.580000000000002,17.439999999999998
2025-03-07,2344,67951855,1251379744,18.15,18.7,18.05,18.25,0.1,18314,18.490000000000002,17.627499999999998
2025-03-10,2344,189602867,3651168850,18.95,19.55,18.9,19.0,0.75,39936,18.55,17.860000000000003
2025-03-11,2344,110052956,2053922092,18.65,19.15,18.35,19.1,0.1,27366,18.660000000000004,18.1025
2025-03-12,2344,269346439,5453229862,19.05,21.0,18.8,21.0,1.9,68863,19.1,18.44
2025-03-13,2344,397786178,8516206387,21.4,22.1,20.4,20.7,-0.3,105493,19.61,18.7475
2025-03-14,2344,174956425,3633832520,21.0,21.15,20.35,20.95,0.25,48979,20.15,18.994999999999997
2025-03-17,2344,154185527,3213302191,21.15,21.55,20.3,20.45,-0.5,41907,20.44,19.160000000000004
2025-03-18,2344,92009193,1886915072,20.65,20.95,20.1,20.35,-0.1,25967,20.689999999999998,19.25
2025-03-19,2344,124984770,2575564912,20.45,21.1,20.3,20.5,0.15,34350,20.589999999999996,19.3375
2025-03-20,2344,125389286,2622975355,20.7,21.2,20.55,21.1,0.6,33646,20.67,19.4325
2025-03-21,2344,138217530,2891676507,21.1,21.6,20.5,21.05,-0.05,34070,20.69,19.5375
2025-03-24,2344,103485841,2110606867,20.9,21.0,19.95,19.95,-1.1,31331,20.59,19.5925
2025-03-25,2344,71785562,1417248050,20.2,20.4,19.2,19.35,-0.6,22116,20.39,19.6175
2025-03-26,2344,55571215,1087150788,19.55,19.95,19.35,19.45,0.1,15250,20.18,19.634999999999998
2025-03-27,2344,47714729,927524477,19.1,19.85,19.1,19.25,-0.2,14507,19.81,19.6675
2025-03-28,2344,58260040,1097242743,19.3,19.4,18.5,18.7,-0.55,17155,19.34,19.6675
2025-03-31,2344,74509246,1323314194,17.8,18.35,17.35,17.55,-1.15,20095,18.86,19.61
2025-04-01,2344,50379839,908555100,17.95,18.2,17.8,18.1,0.55,14400,18.610000000000003,19.5875
2025-04-02,2344,53016793,974794868,18.15,18.85,17.8,18.7,0.6,16933,18.46,19.582500000000003
2025-04-07,2344,4724750,79611731,16.85,16.85,16.85,16.85,-1.85,2320,17.98,19.5175
2025-04-08,2344,87274331,1340582589,15.35,16.05,15.2,15.2,-1.65,18856,17.28,19.365000000000002
2025-04-09,2344,89217079,1253908119,14.55,14.8,13.7,13.7,-1.5,24348,16.509999999999998,19.1
2025-04-10,2344,34689275,522073499,15.05,15.05,15.05,15.05,1.35,5888,15.9,18.8975
2025-04-11,2344,106332724,1576880630,14.2,15.45,13.6,15.3,0.25,26843,15.220000000000002,18.6125
2025-04-14,2344,82043219,1316242621,15.7,16.3,15.7,15.9,0.6,23121,15.029999999999998,18.372500000000002
2025-04-15,2344,42259159,687593899,16.25,16.5,16.0,16.3,0.4,12372,15.25,18.139999999999997
2025-04-16,2344,51900815,819731719,16.2,16.2,15.5,15.55,-0.75,17360,15.62,17.895
2025-04-17,2344,40747467,629041922,15.5,15.75,15.2,15.4,-0.15,11405,15.690000000000001,17.6475
2025-04-18,2344,103498411,1661191186,15.45,16.4,15.4,15.9,0.5,27799,15.810000000000002,17.4175
2025-04-21,2344,125178716,1956674455,15.9,16.05,15.3,15.35,-0.55,31484,15.7,17.130000000000003
2025-04-22,2344,130117621,2039241075,15.4,16.25,15.25,15.4,0.05,34412,15.52,16.8475
2025-04-23,2344,76889430,1216720299,16.1,16.15,15.6,15.6,0.2,18412,15.530000000000001,16.630000000000003
2025-04-24,2344,48819766,759416643,15.7,15.85,15.4,15.4,-0.2,12315,15.530000000000001,16.432499999999997
2025-04-25,2344,49605719,782619800,15.75,15.95,15.6,15.8,0.4,11649,15.51,16.25
2025-04-28,2344,30098324,473566883,15.9,16.0,15.6,15.7,-0.1,9447,15.580000000000002,16.072499999999998
2025-04-29,2344,33876612,537847233,15.75,16.0,15.7,15.95,0.25,8435,15.690000000000001,15.934999999999999
2025-04-30,2344,45950742,731376355,16.05,16.15,15.7,15.75,-0.2,12112,15.719999999999999,15.844999999999999
2025-05-02,2344,33786124,540991005,16.0,16.25,15.9,15.95,0.2,8817,15.830000000000002,15.7375
2025-05-05,2344,39294355,613525185,16.1,16.1,15.25,15.45,-0.5,10242,15.76,15.575
2025-05-06,2344,24682554,384500853,15.3,15.8,15.25,15.7,0.25,7483,15.76,15.517500000000002
2025-05-07,2344,17189397,267921276,15.75,15.8,15.45,15.55,-0.15,4839,15.679999999999998,15.535000000000002
2025-05-08,2344,44805514,709095451,15.85,16.2,15.6,15.6,0.05,12467,15.65,15.629999999999999
2025-05-09,2344,18271060,284607408,15.8,15.85,15.4,15.55,-0.05,6587,15.569999999999999,15.655000000000001
2025-05-12,2344,76003127,1233043832,15.8,16.65,15.75,16.55,1.0,22117,15.789999999999997,15.717500000000001
2025-05-13,2344,206408288,3641098587,17.1,18.2,16.8,17.9,1.35,50190,16.23,15.817499999999999
2025-05-14,2344,151885981,2746777191,17.85,18.35,17.7,18.15,0.25,38678,16.75,15.910000000000002
2025-05-15,2344,134611568,2468870683,18.45,18.9,17.9,18.1,-0.05,33782,17.25,16.0375
2025-05-16,2344,49038144,881834077,18.1,18.2,17.8,17.95,-0.15,13887,17.729999999999997,16.165
2025-05-19,2344,38023884,679193789,17.95,18.15,17.7,17.75,-0.2,10381,17.97,16.2575
2025-05-20,2344,120117574,2214382485,18.15,18.8,17.95,18.55,0.8,30837,18.1,16.417499999999997
2025-05-21,2344,76924224,1412658768,18.6,18.7,18.1,18.15,-0.4,20757,18.1,16.555
2025-05-22,2344,49671190,886788594,18.1,18.15,17.7,17.85,-0.3,15194,18.05,16.667499999999997
2025-05-23,2344,25656051,459197761,17.95,18.1,17.75,17.75,-0.1,7703,18.01,16.785
2025-05-26,2344,35231583,616599141,17.75,17.8,17.3,17.45,-0.3,10122,17.95,16.8675
2025-05-27,2344,26947034,470070644,17.45,17.65,17.2,17.35,-0.1,7999,17.71,16.95
2025-05-28,2344,48953278,865614407,17.8,18.05,17.3,17.4,0.05,14300,17.56,17.0225
2025-05-29,2344,48955342,865736017,17.6,17.9,17.4,17.7,0.3,12314,17.529999999999998,17.119999999999997
2025-06-02,2344,36253384,617822035,17.5,17.55,16.85,16.9,-0.8,12264,17.360000000000003,17.1675
2025-06-03,2344,26626284,448273940,17.1,17.2,16.7,16.7,-0.2,7378,17.21,17.229999999999997
2025-06-04,2344,69082667,1216120964,17.0,18.0,16.95,17.65,0.95,20138,17.27,17.327499999999997
2025-06-05,2344,106061105,1930424593,17.85,18.6,17.7,18.1,0.45,27290,17.41,17.455
2025-06-06,2344,52663870,958911221,18.1,18.4,18.0,18.35,0.25,15907,17.54,17.5925
2025-06-09,2344,66163437,1226127849,18.45,18.8,18.3,18.4,0.05,19389,17.84,17.735
2025-06-10,2344,99914095,1891211041,18.6,19.3,18.45,18.8,0.4,25688,18.26,17.8475
2025-06-11,2344,61674853,1165634517,19.1,19.25,18.65,18.8,0.0,16184,18.490000000000002,17.892500000000002
2025-06-12,2344,28613369,537190672,18.8,18.9,18.6,18.8,0.0,7810,18.630000000000003,17.925
2025-06-13,2344,41139315,757094612,18.7,18.7,18.2,18.45,-0.35,11585,18.65,17.942500000000003
2025-06-16,2344,45754464,842061387,18.5,18.65,18.15,18.4,-0.05,11688,18.65,17.965
2025-06-17,2344,56800723,1068588001,18.55,19.0,18.55,18.75,0.35,14017,18.639999999999997,18.015
2025-06-18,2344,194706566,3800763784,18.9,19.85,18.85,19.65,0.9,50168,18.81,18.07
2025-06-19,2344,152054342,2980207487,20.0,20.3,19.15,19.6,-0.05,38189,18.97,18.142500000000002
