date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,MA5,MA20
2025-01-02,3017,4734406,2957686538,623.0,639.0,614.0,615.0,-8.0,7971,,
2025-01-03,3017,3713963,2302673750,620.0,626.0,611.0,624.0,9.0,4941,,
2025-01-06,3017,4444331,2800812549,632.0,636.0,627.0,627.0,3.0,5453,,
2025-01-07,3017,4232160,2697080997,636.0,642.0,634.0,637.0,10.0,5613,,
2025-01-08,3017,6713301,4156009386,632.0,633.0,611.0,615.0,-22.0,12858,623.6,
2025-01-09,3017,13456408,7932120922,616.0,618.0,572.0,574.0,-41.0,29585,615.4,
2025-01-10,3017,11796683,6553218720,575.0,576.0,545.0,549.0,-25.0,19475,600.4,
2025-01-13,3017,10814033,5681171640,547.0,551.0,515.0,516.0,-33.0,17626,578.2,
2025-01-14,3017,8788193,4556983379,520.0,525.0,513.0,520.0,4.0,10328,554.8,
2025-01-15,3017,7652794,3889889542,516.0,522.0,500.0,502.0,-18.0,13248,532.2,
2025-01-16,3017,7120252,3721762619,518.0,533.0,514.0,527.0,25.0,8818,522.8,
2025-01-17,3017,10135724,5295045020,526.0,539.0,508.0,530.0,3.0,11185,519.0,
2025-01-20,3017,9214658,5118792869,538.0,566.0,535.0,565.0,35.0,11422,528.8,
2025-01-21,3017,6737935,3737709389,565.0,565.0,550.0,552.0,-13.0,9394,535.2,
2025-01-22,3017,9315682,5338973187,563.0,581.0,562.0,579.0,27.0,11814,550.6,
2025-02-03,3017,3560200,1858591994,522.0,522.0,522.0,522.0,-57.0,11820,549.6,
2025-02-04,3017,22732433,11428372521,519.0,524.0,486.0,508.0,-14.0,29468,545.2,
2025-02-05,3017,12455579,6594755342,524.0,543.0,519.0,526.0,18.0,14424,537.4,
2025-02-06,3017,8799982,4740273835,531.0,547.0,531.0,535.0,9.0,9503,534.0,
2025-02-07,3017,6696356,3629072262,543.0,549.0,531.0,549.0,14.0,8423,528.0,558.6
2025-02-10,3017,9422423,5020310382,530.0,541.0,524.0,538.0,-11.0,10726,531.2,554.75
2025-02-11,3017,7556974,4126901341,543.0,552.0,541.0,545.0,7.0,7711,538.6,550.8
2025-02-12,3017,9906875,5503758317,545.0,565.0,543.0,553.0,8.0,10753,544.0,547.1
2025-02-13,3017,6952028,3872883638,557.0,563.0,549.0,556.0,3.0,8168,548.2,543.05
2025-02-14,3017,5727340,3188099954,556.0,565.0,546.0,560.0,4.0,6761,550.4,540.3
2025-02-17,3017,6055245,3428413645,565.0,574.0,558.0,562.0,2.0,7143,555.2,539.7
2025-02-18,3017,5778691,3299679005,563.0,579.0,559.0,579.0,17.0,7296,562.0,541.2
2025-02-19,3017,6621890,3788428113,581.0,583.0,564.0,564.0,-15.0,10504,564.2,543.6
2025-02-20,3017,3523021,1980487929,564.0,569.0,555.0,563.0,-1.0,4935,565.6,545.75
2025-02-21,3017,3182727,1800075125,564.0,569.0,558.0,568.0,5.0,3963,567.2,549.05
2025-02-24,3017,8755605,4770174922,554.0,556.0,541.0,542.0,-26.0,14672,563.2,549.8
2025-02-25,3017,6405932,3387114755,528.0,539.0,523.0,528.0,-14.0,10744,553.0,549.7
2025-02-26,3017,8688661,4706990884,525.0,554.0,524.0,549.0,21.0,9377,550.0,548.9
2025-02-27,3017,10141764,5551885904,553.0,567.0,536.0,537.0,-12.0,13527,544.8,548.15
2025-03-03,3017,5256958,2757095492,528.0,533.0,519.0,519.0,-18.0,8727,535.0,545.15
2025-03-04,3017,7628957,3989250173,506.0,537.0,500.0,534.0,15.0,8986,533.4,545.75
2025-03-05,3017,14570981,8202609379,549.0,576.0,548.0,566.0,32.0,17233,541.0,548.65
2025-03-06,3017,11321459,6498990984,570.0,582.0,562.0,576.0,10.0,12208,546.4,551.15
2025-03-07,3017,9004617,5077385947,566.0,573.0,558.0,559.0,-17.0,10754,550.8,552.35
2025-03-10,3017,6749861,3830927861,570.0,576.0,561.0,564.0,5.0,7659,559.8,553.1
