date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,MA5,MA20
2025-01-02,2327,1746133,943183892,538.0,545.0,536.0,538.0,-3.0,2642,,
2025-01-03,2327,4991866,2734830206,543.0,553.0,541.0,547.0,9.0,5892,,
2025-01-06,2327,5468546,3062107035,552.0,569.0,547.0,569.0,22.0,8251,,
2025-01-07,2327,4269240,2422214366,573.0,574.0,563.0,563.0,-6.0,5548,,
2025-01-08,2327,4475900,2536522791,562.0,576.0,561.0,564.0,1.0,5943,556.2,
2025-01-09,2327,3357754,1849408871,561.0,561.0,542.0,542.0,-22.0,6747,557.0,
2025-01-10,2327,1843663,993733546,542.0,547.0,534.0,536.0,-6.0,3494,554.8,
2025-01-13,2327,2902536,1507850203,532.0,532.0,514.0,516.0,-20.0,6159,544.2,
2025-01-14,2327,1064861,555170171,514.0,526.0,514.0,524.0,8.0,2062,536.4,
2025-01-15,2327,1710396,899100717,527.0,531.0,520.0,523.0,-1.0,2232,528.2,
2025-01-16,2327,2207035,1164680492,530.0,533.0,524.0,525.0,2.0,2807,524.8,
2025-01-17,2327,1293223,675354967,530.0,530.0,519.0,521.0,-4.0,2550,521.8,
2025-01-20,2327,654115,342985067,522.0,527.0,519.0,527.0,6.0,1510,524.0,
2025-01-21,2327,1087069,576458789,526.0,533.0,525.0,529.0,2.0,1784,525.0,
2025-01-22,2327,1417301,756277895,531.0,537.0,528.0,537.0,8.0,2330,527.8,
2025-02-03,2327,2978083,1544736010,529.0,529.0,513.0,519.0,-18.0,5406,526.6,
2025-02-04,2327,3316001,1769930292,526.0,548.0,526.0,534.0,15.0,4124,529.2,
2025-02-05,2327,9157452,5155738217,541.0,576.0,541.0,569.0,35.0,12411,537.6,
2025-02-06,2327,8821955,5107451200,578.0,591.0,569.0,571.0,2.0,17975,546.0,
2025-02-07,2327,3103063,1766604379,572.0,574.0,566.0,571.0,0.0,9758,552.8,541.25
2025-02-10,2327,3288121,1893342562,569.0,582.0,568.0,575.0,4.0,5549,564.0,543.1
2025-02-11,2327,1994458,1149743845,578.0,580.0,573.0,575.0,0.0,3494,572.2,544.5
2025-02-12,2327,2460823,1419864190,580.0,581.0,572.0,578.0,3.0,3428,574.0,544.95
2025-02-13,2327,6280917,3697698351,582.0,595.0,580.0,593.0,15.0,9122,578.4,546.45
2025-02-14,2327,5170905,3070326217,595.0,604.0,587.0,588.0,-5.0,8581,581.8,547.65
2025-02-17,2327,2562113,1501394258,588.0,590.0,583.0,586.0,-2.0,4444,584.0,549.85
2025-02-18,2327,1942756,1144857881,585.0,593.0,583.0,593.0,7.0,2995,587.6,552.7
2025-02-19,2327,1805939,1068980684,593.0,597.0,588.0,590.0,-3.0,2959,590.0,556.4
2025-02-20,2327,1625457,963401674,589.0,596.0,588.0,595.0,5.0,3096,590.4,559.95
2025-02-21,2327,1783643,1065654706,598.0,602.0,594.0,598.0,3.0,3222,592.4,563.7
2025-02-24,2327,2220805,1312880432,592.0,595.0,588.0,594.0,-4.0,3818,594.0,567.15
2025-02-25,2327,4182949,2433593471,585.0,587.0,576.0,581.0,-13.0,5533,591.6,570.15
2025-02-26,2327,2880305,1671370263,577.0,583.0,575.0,583.0,2.0,3707,590.2,572.95
2025-02-27,2327,4651601,2657233329,584.0,585.0,566.0,566.0,-17.0,6974,584.4,574.8
2025-03-03,2327,5974164,3245094718,548.0,550.0,537.0,540.0,-26.0,9221,572.8,574.95
2025-03-04,2327,3250951,1772988199,532.0,553.0,531.0,552.0,12.0,4145,564.4,576.6
2025-03-05,2327,2655616,1455253768,547.0,551.0,545.0,548.0,-4.0,4148,557.8,577.3
2025-03-06,2327,1868618,1021787885,553.0,554.0,543.0,543.0,-5.0,3744,549.8,576.0
2025-03-07,2327,2506935,1347311383,537.0,542.0,535.0,535.0,-8.0,4782,543.6,574.2
2025-03-10,2327,2837797,1497338212,536.0,537.0,525.0,525.0,-10.0,6298,540.6,571.9
2025-03-11,2327,3235867,1669730804,514.0,522.0,505.0,522.0,-3.0,7422,534.6,569.25
2025-03-12,2327,2222509,1186920433,522.0,538.0,521.0,537.0,15.0,3467,532.4,567.35
2025-03-13,2327,2371287,1256757940,541.0,544.0,521.0,521.0,-16.0,4753,528.0,564.5
2025-03-14,2327,1370728,716955349,525.0,527.0,518.0,523.0,2.0,3386,525.6,561.0
2025-03-17,2327,1023930,540146942,529.0,531.0,525.0,526.0,3.0,1886,525.8,557.9
2025-03-18,2327,1754545,940696712,532.0,540.0,530.0,540.0,14.0,2456,529.4,555.6
2025-03-19,2327,1808741,960755829,540.0,541.0,527.0,529.0,-11.0,3418,527.8,552.4
2025-03-20,2327,1126723,603414820,537.0,539.0,532.0,538.0,9.0,1745,531.2,549.8
2025-03-21,2327,1923537,1026103938,536.0,538.0,532.0,533.0,-5.0,1839,533.2,546.7
2025-03-24,2327,1693061,892788400,535.0,538.0,523.0,523.0,-10.0,3382,532.6,542.95
2025-03-25,2327,1583060,827848623,529.0,530.0,520.0,522.0,-1.0,2839,529.0,539.35
2025-03-26,2327,903973,477655085,526.0,530.0,525.0,530.0,8.0,2247,529.2,536.8
2025-03-27,2327,997008,523126915,525.0,529.0,522.0,529.0,-1.0,2411,527.4,534.1
2025-03-28,2327,2422459,1245618273,524.0,524.0,508.0,510.0,-19.0,6330,522.8,531.3
2025-03-31,2327,3869149,1874220466,491.0,495.5,476.0,481.0,-29.0,8683,514.4,528.35
2025-04-01,2327,2500953,1218558292,487.0,492.0,482.0,488.5,7.5,3242,507.7,525.175
2025-04-02,2327,4350509,2234787383,488.5,523.0,486.5,523.0,34.5,5952,506.3,523.925
2025-04-07,2327,478867,225546357,471.0,471.0,471.0,471.0,-52.0,2355,494.7,520.325
2025-04-08,2327,8081870,3464921245,428.5,449.0,424.0,427.5,-43.5,11661,478.2,514.95
2025-04-09,2327,9301061,3728381745,405.5,419.5,386.0,386.5,-41.0,13111,459.3,508.025
2025-04-10,2327,1077542,457955350,425.0,425.0,425.0,425.0,38.5,903,446.6,503.175
2025-04-11,2327,6331525,2715979326,409.5,439.0,405.0,438.0,13.0,7233,429.6,498.225
2025-04-14,2327,5528552,2507558624,445.0,463.0,445.0,452.0,14.0,6556,425.8,494.775
2025-04-15,2327,2190581,1010262989,454.0,466.0,452.0,463.0,11.0,3259,432.9,491.775
2025-04-16,2327,2543654,1155338527,456.0,463.0,449.0,450.0,-13.0,5341,445.6,487.975
2025-04-17,2327,1958628,884079206,447.5,457.0,442.5,457.0,7.0,2516,452.0,483.825
2025-04-18,2327,5959454,2737035531,477.0,479.0,451.0,455.0,-2.0,7764,455.4,480.125
2025-04-21,2327,2784155,1251056854,455.0,462.5,440.0,442.0,-13.0,4311,453.4,475.325
2025-04-22,2327,1874547,819630732,437.0,443.5,432.0,436.0,-6.0,2856,448.0,470.475
2025-04-23,2327,2385229,1076376327,449.0,456.5,446.5,454.5,18.5,3039,448.9,467.05
2025-04-24,2327,1574286,706160834,454.5,454.5,445.5,445.5,-9.0,2665,446.6,463.225
2025-04-25,2327,2002676,914483288,455.5,460.0,453.5,456.0,10.5,2965,446.8,459.525
2025-04-28,2327,1843819,847270359,460.5,463.0,456.5,458.0,2.0,2389,450.0,455.975
2025-04-29,2327,1363897,629597505,458.0,464.0,458.0,461.5,3.5,1993,455.1,453.55
2025-04-30,2327,2075357,959173885,460.0,469.0,456.0,459.0,-2.5,3257,456.0,452.45
2025-05-02,2327,1838277,852643734,464.0,467.0,459.0,464.0,5.0,2778,459.7,451.225
2025-05-05,2327,3167489,1427113257,467.5,467.5,440.0,449.0,-15.0,4503,458.3,447.525
2025-05-06,2327,1434578,647517186,449.0,455.5,446.5,453.5,4.5,2135,457.4,446.65
2025-05-07,2327,1301685,590051772,458.0,459.0,449.0,450.0,-3.5,1911,455.1,447.775
2025-05-08,2327,2540821,1177632913,454.5,467.5,453.0,464.0,14.0,3323,456.1,451.65
2025-05-09,2327,1945362,903736477,466.5,469.0,461.0,464.5,0.5,2394,456.2,453.625
2025-05-12,2327,2538692,1216972120,469.5,485.0,468.5,485.0,20.5,4180,463.4,455.975
2025-05-13,2327,3367189,1634897941,495.0,496.0,480.0,480.5,-4.5,4802,468.8,457.4
2025-05-14,2327,2323061,1132635216,488.0,490.5,482.5,490.0,9.5,3328,476.8,458.75
2025-05-15,2327,1750550,857076736,493.0,493.0,486.5,489.0,-1.0,2399,481.8,460.7
2025-05-16,2327,2176837,1063775579,490.0,498.5,486.5,498.0,9.0,3076,488.5,462.75
2025-05-19,2327,2576828,1251845782,496.0,496.0,480.0,480.0,-18.0,4550,487.5,464.0
2025-05-20,2327,2179925,1044912078,482.0,484.0,476.0,476.0,-4.0,3020,486.6,465.7
2025-05-21,2327,2069389,1004690808,477.0,489.5,477.0,489.0,13.0,2390,486.4,468.35
2025-05-22,2327,1136787,551889405,483.0,489.0,482.5,488.0,-1.0,1697,486.2,470.025
2025-05-23,2327,1236892,599364917,491.0,491.0,481.0,481.0,-7.0,2224,482.8,471.8
2025-05-26,2327,913826,440440652,482.5,485.0,478.5,480.5,-0.5,1730,482.9,473.025
2025-05-27,2327,1351175,648597536,484.0,486.0,475.5,479.0,-1.5,2155,483.5,474.075
