date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,MA5,MA20
2025-01-02,2303,65489284,2842388293,42.9,43.7,42.85,43.7,0.65,22904,,
2025-01-03,2303,42529890,1849426887,43.95,44.15,43.1,43.1,-0.6,21116,,
2025-01-06,2303,33049291,1438553530,43.6,43.75,43.35,43.4,0.3,13578,,
2025-01-07,2303,59202089,2525064940,43.65,43.8,42.35,42.35,-1.05,26849,,
2025-01-08,2303,38044876,1622705212,42.4,42.9,42.35,42.7,0.35,12770,43.05,
2025-01-09,2303,47183759,1982974851,42.7,42.95,41.6,41.6,-1.1,24383,42.63000000000001,
2025-01-10,2303,41145927,1698102548,41.25,41.6,40.8,41.3,-0.3,17744,42.269999999999996,
2025-01-13,2303,49325493,2024176288,41.0,41.7,40.8,40.9,-0.4,18890,41.769999999999996,
2025-01-14,2303,37186189,1554420078,41.2,42.25,41.05,42.25,1.35,13209,41.75,
2025-01-15,2303,36667637,1533550159,42.05,42.5,41.45,41.45,-0.8,17249,41.5,
2025-01-16,2303,37412485,1564736669,41.9,42.25,41.55,41.55,0.1,11443,41.489999999999995,
2025-01-17,2303,44241179,1831670078,41.4,41.75,41.2,41.2,-0.35,12914,41.47,
2025-01-20,2303,47464919,2013091372,41.55,42.75,41.5,42.75,1.55,19206,41.839999999999996,
2025-01-21,2303,42396410,1822753732,42.75,43.3,42.4,42.95,0.2,19942,41.980000000000004,
2025-01-22,2303,149025482,5994815838,39.7,40.55,39.7,40.2,-2.75,68561,41.730000000000004,
2025-02-03,2303,112511997,4559923873,40.2,41.65,40.0,40.5,0.3,34801,41.519999999999996,
2025-02-04,2303,58336092,2350280013,40.95,40.95,40.1,40.1,-0.4,21867,41.3,
2025-02-05,2303,34136699,1373735533,40.4,40.65,40.1,40.1,0.0,15408,40.77,
2025-02-06,2303,32830275,1315951545,40.3,40.35,39.95,40.1,0.0,14523,40.2,
2025-02-07,2303,23231817,933331954,40.1,40.3,40.1,40.15,0.05,8946,40.190000000000005,41.6175
2025-02-10,2303,31106682,1249172425,40.15,40.3,39.9,40.2,0.05,14295,40.13,41.4425
2025-02-11,2303,29978227,1210010224,40.3,40.5,40.15,40.4,0.2,13247,40.190000000000005,41.307500000000005
2025-02-12,2303,28301284,1137496679,40.4,40.5,40.05,40.1,-0.3,14155,40.19,41.1425
2025-02-13,2303,64119946,2638708802,40.25,41.75,40.2,41.4,1.3,26547,40.45,41.095000000000006
2025-02-14,2303,28678717,1187715448,41.5,41.75,41.05,41.4,0.0,14408,40.7,41.03
2025-02-17,2303,33131130,1389567891,41.5,42.2,41.45,42.0,0.6,14436,41.06,41.05
2025-02-18,2303,36105442,1516130039,42.05,42.3,41.7,41.95,-0.05,15673,41.37,41.0825
2025-02-19,2303,54879870,2341686377,42.2,42.95,42.15,42.55,0.6,24444,41.86,41.165000000000006
2025-02-20,2303,40230687,1733642544,43.0,43.3,42.85,43.0,0.45,20397,42.18,41.2025
2025-02-21,2303,34489308,1500597380,43.35,43.6,43.2,43.6,0.6,18020,42.62,41.31
2025-02-24,2303,30334019,1316277013,43.05,43.65,42.8,43.55,-0.05,13012,42.92999999999999,41.410000000000004
2025-02-25,2303,36339641,1570705624,43.05,43.5,42.9,43.3,-0.25,14151,43.2,41.515
2025-02-26,2303,35296664,1540244780,43.1,43.8,43.05,43.6,0.3,13218,43.41,41.5575
2025-02-27,2303,69493077,3035958098,44.0,44.15,43.4,43.7,0.1,20495,43.55,41.595
2025-03-03,2303,53313266,2308376716,43.1,43.6,42.85,43.6,-0.1,18040,43.55,41.765
2025-03-04,2303,44412629,1929198239,42.95,43.85,42.9,43.6,0.0,15763,43.559999999999995,41.92
2025-03-05,2303,46628841,2058005709,44.1,44.5,43.7,44.0,0.4,19416,43.7,42.115
2025-03-06,2303,30510374,1346332894,44.3,44.45,43.9,44.0,0.0,14009,43.78,42.31
2025-03-07,2303,31930282,1415580843,44.0,44.6,43.8,44.15,0.15,12962,43.87,42.5125
2025-03-10,2303,59203254,2664194730,44.55,45.3,44.4,45.05,0.9,25938,44.160000000000004,42.7575
2025-03-11,2303,68311501,3054289672,44.3,45.0,44.2,44.85,-0.2,23571,44.410000000000004,42.989999999999995
2025-03-12,2303,43460814,1938433743,44.7,44.95,44.1,44.8,-0.05,18897,44.57,43.209999999999994
2025-03-13,2303,57922874,2557271836,44.7,44.7,43.6,43.7,-1.1,30277,44.510000000000005,43.39
2025-03-14,2303,68624821,3058406434,43.55,45.05,43.5,44.9,1.2,27629,44.660000000000004,43.565
2025-03-17,2303,44408424,1969740923,45.0,45.15,44.1,44.1,-0.8,21813,44.47,43.7
2025-03-18,2303,42307201,1884019346,44.2,45.0,44.15,44.5,0.4,18454,44.4,43.825
2025-03-19,2303,37455059,1670204447,44.5,44.9,44.3,44.3,-0.2,14391,44.3,43.942499999999995
2025-03-20,2303,43495732,1958039539,44.7,45.15,44.7,45.15,0.85,16924,44.589999999999996,44.072500000000005
2025-03-21,2303,39471745,1771108284,45.0,45.0,44.5,45.0,-0.15,12142,44.61,44.1725
2025-03-24,2303,36174329,1624472258,45.0,45.3,44.6,44.85,-0.15,13157,44.76,44.235
2025-03-25,2303,36633108,1639899328,45.0,45.2,44.45,44.85,0.0,15482,44.83,44.3
2025-03-26,2303,28296047,1258970859,44.75,44.8,44.3,44.55,-0.3,13307,44.88,44.3625
2025-03-27,2303,43394366,1926002731,44.1,44.8,44.0,44.8,0.25,16525,44.81,44.4225
2025-03-28,2303,38051275,1690370715,44.6,44.6,44.1,44.55,-0.25,12282,44.72,44.464999999999996
2025-03-31,2303,62053019,2729882991,43.55,44.65,43.3,44.65,0.1,21409,44.68,44.5175
2025-04-01,2303,143677906,6620728091,47.2,48.0,45.25,45.95,1.3,56058,44.9,44.635
2025-04-02,2303,50674784,2300449818,45.8,45.8,45.15,45.25,-0.7,18393,45.04,44.6975
2025-04-07,2303,14322325,583633642,40.75,40.75,40.75,40.75,-4.5,8741,44.23,44.535
2025-04-08,2303,121853267,4984306524,39.55,42.0,39.5,41.7,0.95,44785,43.660000000000004,44.4125
2025-04-09,2303,85701529,3476778694,40.55,41.5,39.7,39.9,-1.8,35140,42.71,44.155
2025-04-10,2303,49755593,2180766512,43.85,43.85,43.5,43.85,3.95,18557,42.290000000000006,44.105000000000004
2025-04-11,2303,69607331,3042616156,42.7,44.3,42.1,44.1,0.25,32481,42.06,44.07000000000001
2025-04-14,2303,56583195,2528162874,44.8,45.35,44.3,44.3,0.2,26133,42.77,44.1
2025-04-15,2303,31336537,1402726937,44.5,44.95,44.4,44.7,0.4,12103,43.37,44.089999999999996
2025-04-16,2303,35970732,1609593811,44.2,45.0,44.2,44.95,0.25,14723,44.379999999999995,44.1325
2025-04-17,2303,20672164,915640308,44.85,44.85,44.05,44.1,-0.85,9447,44.43,44.1125
2025-04-18,2303,16139754,715122846,44.45,44.45,44.1,44.3,0.2,6781,44.47,44.1125
2025-04-21,2303,14753763,647099514,44.35,44.35,43.65,43.65,-0.65,8131,44.34,44.0375
2025-04-22,2303,27874721,1234492440,43.6,44.55,43.55,44.3,0.65,11038,44.260000000000005,44.0025
2025-04-23,2303,33826518,1520794480,44.95,45.3,44.6,45.1,0.8,14546,44.290000000000006,44.015
2025-04-24,2303,42911648,1884424247,44.75,44.95,43.4,43.4,-1.7,37680,44.15,43.9425
2025-04-25,2303,54530408,2425444316,44.1,44.7,43.95,44.65,1.25,15656,44.22,43.9475
2025-04-28,2303,23062637,1030983049,44.55,44.9,44.2,44.9,0.25,10932,44.47,43.9525
2025-04-29,2303,28542996,1283087729,44.7,45.1,44.65,44.95,0.05,10601,44.6,43.972500000000004
2025-04-30,2303,30414588,1372385996,44.75,45.3,44.75,45.2,0.25,11639,44.62,44.0
2025-05-02,2303,31343335,1427811018,45.2,45.85,45.15,45.65,0.45,14466,45.07,43.985
2025-05-05,2303,35467426,1603829931,45.75,45.8,44.6,45.05,-0.6,14655,45.15,43.975
2025-05-06,2303,43527708,1978038181,45.0,45.8,44.6,45.4,0.35,15078,45.25,44.207499999999996
2025-05-07,2303,31901496,1456805840,45.6,45.9,45.4,45.75,0.35,13381,45.410000000000004,44.41
2025-05-08,2303,21261514,966561353,45.4,45.75,45.3,45.3,-0.45,10755,45.42999999999999,44.68
2025-05-09,2303,16916458,769970308,45.2,45.7,45.15,45.55,0.25,7752,45.41,44.765
2025-05-12,2303,34164000,1575599482,45.75,46.45,45.6,46.45,0.9,17888,45.69,44.88250000000001
2025-05-13,2303,32070699,1493869034,46.65,46.85,46.35,46.55,0.1,12733,45.92,44.995
2025-05-14,2303,27592069,1295410745,46.9,47.05,46.8,47.0,0.45,13431,46.17,45.11
2025-05-15,2303,42408969,2005585782,46.95,47.5,46.85,47.5,0.5,18219,46.61,45.2375
2025-05-16,2303,29107357,1385934562,47.6,47.8,47.3,47.8,0.3,12778,47.06,45.4225
2025-05-19,2303,36989636,1767427775,47.6,47.95,47.5,47.75,-0.05,12139,47.32000000000001,45.595
2025-05-20,2303,28818926,1372924699,47.95,48.0,47.25,47.85,0.1,14217,47.58,45.805
2025-05-21,2303,93873392,4594760947,48.0,49.7,47.9,49.55,1.7,46253,48.089999999999996,46.0675
2025-05-22,2303,71129562,3519218842,49.45,49.8,48.9,49.45,-0.1,27087,48.480000000000004,46.285
2025-05-23,2303,71795460,3491384870,48.1,49.45,48.05,48.05,-1.4,37937,48.53,46.5175
2025-05-26,2303,79080596,3794021497,47.8,48.8,47.1,47.1,-0.95,30909,48.4,46.64
2025-05-27,2303,99894392,4649489350,47.1,47.6,46.0,46.0,-1.1,53286,48.029999999999994,46.695
2025-05-28,2303,98207783,4617542050,46.4,47.45,46.15,47.05,1.05,30701,47.53,46.8
2025-05-29,2303,149194801,7046455980,47.4,48.1,46.75,46.75,-0.3,33500,46.989999999999995,46.8775
2025-06-02,2303,82317499,3823325943,46.8,46.95,45.9,46.95,0.2,34468,46.77,46.942499999999995
2025-06-03,2303,78597889,3697011606,46.7,47.3,46.6,47.25,0.3,32210,46.8,47.052499999999995
2025-06-04,2303,85623252,3958633108,47.1,47.25,45.8,45.95,-1.3,68079,46.79,47.08
2025-06-05,2303,74800745,3406889154,45.65,46.05,45.1,45.3,-0.65,30706,46.44,47.0575
2025-06-06,2303,55833077,2527229783,45.3,45.75,45.0,45.0,-0.3,17860,46.089999999999996,47.0425
2025-06-09,2303,39339158,1784352897,45.0,45.75,44.85,45.65,0.65,19810,45.83,47.0475
2025-06-10,2303,47792174,2207772728,45.85,46.5,45.8,46.4,0.75,18741,45.66,47.045
2025-06-11,2303,57332632,2698126208,46.55,47.25,46.55,47.25,0.85,20768,45.92,47.08
2025-06-12,2303,33016511,1558808404,47.25,47.4,46.9,47.3,0.05,11422,46.32000000000001,47.095
2025-06-13,2303,44917514,2134058117,46.8,47.75,46.8,47.45,0.15,19942,46.81,47.0925
2025-06-16,2303,41273311,1975836715,47.35,48.0,47.35,48.0,0.55,15856,47.28,47.102500000000006
2025-06-17,2303,71371503,3430753835,48.25,48.8,47.5,47.5,-0.5,29313,47.5,47.09
2025-06-18,2303,41980395,2015511890,47.7,48.3,47.6,48.3,0.8,20241,47.71,47.1125
2025-06-19,2303,51364812,2465997428,48.4,48.45,47.6,47.75,-0.55,20792,47.8,47.022499999999994
2025-06-20,2303,65811204,3127104541,47.3,47.95,46.8,47.65,-0.1,19713,47.839999999999996,46.9325
2025-06-23,2303,74927044,3504055756,46.5,47.2,46.2,47.0,-0.65,22797,47.64,46.879999999999995
2025-06-24,2303,132725801,5785593302,42.5,45.35,42.5,45.35,0.0,43159,47.21,46.792500000000004
2025-06-25,2303,96213242,4248508528,45.45,45.45,43.8,43.8,-1.55,40174,46.309999999999995,46.682500000000005
2025-06-26,2303,81797008,3558443336,43.8,44.35,43.15,43.25,-0.55,30129,45.410000000000004,46.49249999999999
2025-06-27,2303,49404482,2179543611,43.85,44.3,43.6,44.3,1.05,20871,44.739999999999995,46.37
2025-06-30,2303,27637348,1219704306,44.1,44.4,43.95,44.2,-0.1,11891,44.18,46.2325
2025-07-01,2303,51209845,2251170810,44.25,44.6,43.55,43.95,-0.25,21486,43.9,46.0675
2025-07-02,2303,41524021,1834574809,43.85,44.45,43.8,44.45,0.5,10283,44.03,45.9925
2025-07-03,2303,37209280,1656314772,44.55,44.95,44.25,44.4,-0.05,15927,44.260000000000005,45.947500000000005
2025-07-04,2303,44412641,1948141393,44.7,44.75,43.55,43.75,-0.65,18021,44.15,45.885000000000005
2025-07-07,2303,39218437,1700583984,44.05,44.05,43.1,43.45,-0.3,16594,44.0,45.775
2025-07-08,2303,29455888,1281985267,43.6,43.8,43.15,43.7,0.25,14626,43.95,45.64
2025-07-09,2303,24747172,1083499849,43.5,43.95,43.45,43.9,0.2,10495,43.839999999999996,45.4725
2025-07-10,2303,31767815,1383219478,43.8,44.0,43.2,43.7,-0.2,12800,43.7,45.292500000000004
2025-07-11,2303,20103462,870237517,43.7,43.7,43.2,43.25,-0.45,10310,43.6,45.082499999999996
2025-07-14,2303,23398431,1006384410,43.25,43.35,42.8,43.15,-0.1,9973,43.540000000000006,44.839999999999996
2025-07-15,2303,21213440,918521677,43.0,43.55,42.9,43.55,0.4,8427,43.51,44.6425
2025-07-16,2303,28442513,1234585439,43.55,43.6,43.2,43.45,-0.1,11072,43.42,44.4
2025-07-17,2303,24169060,1049805536,43.5,43.6,43.15,43.55,0.1,10649,43.39,44.190000000000005
